No.,Time,Source,Destination,Protocol,Length,MSS,WIN,TTL,URG,ACK,PSH,RST,SYN,FIN,SQ,SQR,Who,At,Info,Src Port,Dest Port
99,13.752775,10.0.2.4,10.0.2.1,DNS,93,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xa624 PTR 10.2.0.10.in-addr.arpa OPT,58800,53
100,13.752895,10.0.2.4,10.0.2.1,DNS,93,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xe1dd PTR 11.2.0.10.in-addr.arpa OPT,60901,53
101,13.753191,10.0.2.4,10.0.2.1,DNS,93,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x07b2 PTR 12.2.0.10.in-addr.arpa OPT,56162,53
102,13.753232,10.0.2.1,10.0.2.4,DNS,81,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xd259 No such name PTR 2.2.0.10.in-addr.arpa,53,56026
103,13.753288,10.0.2.4,10.0.2.1,DNS,93,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xa7cd PTR 13.2.0.10.in-addr.arpa OPT,56043,53
104,13.753373,10.0.2.1,10.0.2.4,DNS,81,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x7be7 No such name PTR 3.2.0.10.in-addr.arpa,53,47949
105,13.753416,10.0.2.4,10.0.2.1,DNS,93,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x2bc2 PTR 14.2.0.10.in-addr.arpa OPT,41636,53
106,13.753821,10.0.2.4,10.0.2.1,DNS,93,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xfbd5 PTR 15.2.0.10.in-addr.arpa OPT,57149,53
107,13.753871,10.0.2.1,10.0.2.4,DNS,81,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x92d9 No such name PTR 4.2.0.10.in-addr.arpa,53,45548
108,13.754166,10.0.2.1,10.0.2.4,DNS,81,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x5b9c No such name PTR 5.2.0.10.in-addr.arpa,53,44909
109,13.754366,10.0.2.1,10.0.2.4,DNS,81,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xe62a No such name PTR 6.2.0.10.in-addr.arpa,53,43253
110,13.754551,10.0.2.1,10.0.2.4,DNS,81,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x95fe No such name PTR 7.2.0.10.in-addr.arpa,53,59919
