Time,Source,Destination,Protocol,Length,MSS,WIN,TTL,URG,ACK,PSH,RST,SYN,FIN,SQ,SQR,Who,At,Src Port,Dest Port,hostscan,osscan,portscan
171,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,43986.0,0,0,0
172,0,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,53239.0,0,0,0
173,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,52387.0,53.0,0,0,0
174,0,1,1,5,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,40105.0,0,0,0
175,0,1,1,5,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,43192.0,0,0,0
176,0,1,1,5,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,39840.0,0,0,0
177,0,1,1,5,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,39306.0,0,0,0
178,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,40105.0,53.0,0,0,0
179,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,43192.0,53.0,0,0,0
180,0,1,1,5,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,41807.0,0,0,0
181,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,39306.0,53.0,0,0,0
182,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,39840.0,53.0,0,0,0
183,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,41807.0,53.0,0,0,0
184,0,1,1,5,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,52387.0,0,0,0
185,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,52387.0,53.0,0,0,0
186,0,1,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,40105.0,0,0,0
187,0,1,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,43192.0,0,0,0
188,0,1,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,39306.0,0,0,0
189,0,1,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,39840.0,0,0,0
190,0,1,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,41807.0,0,0,0
191,0,1,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,53.0,52387.0,0,0,0
