Time,Source,Destination,Protocol,Length,MSS,WIN,TTL,URG,ACK,PSH,RST,SYN,FIN,SQ,SQR,Who,At,Src Port,Dest Port,hostscan,osscan,portscan
8929,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8930,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8931,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8932,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8933,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8934,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8935,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8936,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8937,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8938,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8939,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8940,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8941,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8942,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8943,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8944,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8945,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8946,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8953,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8954,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8955,6,5,3,25,0,0,28,0,0,0,0,0,0,0,1,0,0,53,59588,1,0,0
8956,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8957,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8958,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8959,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8960,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8961,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8962,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8963,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8965,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8966,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8968,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8969,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8971,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8972,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8974,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8975,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8978,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
8979,5,6,3,12,0,0,27,0,0,0,0,0,0,1,0,0,0,59588,53,1,0,0
